optimizer,activation,initializer,loss,final_loss,final_accuracy
Nesterov,LeakyReLU,He,CrossEntropy,2.351916537024813,0.13135
Nesterov,LeakyReLU,He,MSE,0.09158386786697043,0.08755
Nesterov,LeakyReLU,He,MAE,0.17876111195159847,0.09465
Nesterov,LeakyReLU,He,Huber,0.04597159931290609,0.09888333333333334
Nesterov,LeakyReLU,LeCun,CrossEntropy,2.310943289623394,0.10335
Nesterov,LeakyReLU,LeCun,MSE,0.09010919857531159,0.10795
Nesterov,LeakyReLU,LeCun,MAE,0.17962147581705168,0.09718333333333333
Nesterov,LeakyReLU,LeCun,Huber,0.04514100395312885,0.10988333333333333
Nesterov,PReLU,Random,CrossEntropy,2.302633349701629,0.05291666666666667
Nesterov,PReLU,Random,MSE,0.08999996861842025,0.13166666666666665
Nesterov,PReLU,Random,MAE,0.17999860530240047,0.19633333333333333
Nesterov,PReLU,Random,Huber,0.04499992217008124,0.15676666666666667
Nesterov,PReLU,Xavier,CrossEntropy,2.308276723648875,0.08466666666666667
Nesterov,PReLU,Xavier,MSE,0.09048506879812315,0.0961
Nesterov,PReLU,Xavier,MAE,0.18032224016854345,0.14375
Nesterov,PReLU,Xavier,Huber,0.044844817019928006,0.13211666666666666
Nesterov,PReLU,He,CrossEntropy,2.3729128650715414,0.11236666666666667
Nesterov,PReLU,He,MSE,0.09134651483438912,0.12296666666666667
Nesterov,PReLU,He,MAE,0.1805166622792698,0.09773333333333334
Nesterov,PReLU,He,Huber,0.04644208160124754,0.07728333333333333
Nesterov,PReLU,LeCun,CrossEntropy,2.301285203458136,0.14121666666666666
Nesterov,PReLU,LeCun,MSE,0.0903474733968105,0.09921666666666666
Nesterov,PReLU,LeCun,MAE,0.18028379877307332,0.08288333333333334
Nesterov,PReLU,LeCun,Huber,0.04498491584335673,0.11576666666666667
Nesterov,ELU,Random,CrossEntropy,2.302571084895108,0.09683333333333333
Nesterov,ELU,Random,MSE,0.0899976384638305,0.12305
Nesterov,ELU,Random,MAE,0.1799965060044697,0.19463333333333332
Nesterov,ELU,Random,Huber,0.044999637079284935,0.14316666666666666
Nesterov,ELU,Xavier,CrossEntropy,2.3180086252513945,0.09891666666666667
Nesterov,ELU,Xavier,MSE,0.08993337741375247,0.12326666666666666
Nesterov,ELU,Xavier,MAE,0.1798139309863311,0.0988
Nesterov,ELU,Xavier,Huber,0.04536545017738123,0.10115
Nesterov,ELU,He,CrossEntropy,2.4336404375978056,0.14648333333333333
